1459.26,867.888,862.368,748.025,1213.54,984.393,2335.47,2154.02,9043.23,9310.24,9427.66,19811.5,21453.1,22694.4,23586.3,558.432,453.614,262.307,233.084,0,2229.61,1009.04,2622.73,15227.7,663.382,376.388,534.869,239.428,379.169,1494.2,9096.72
1008.36,3086.92,3082.15,2975,1133.53,1273.53,270.106,462.783,8995.61,9256.98,9371.25,19533.2,21160.9,22393.1,23282.3,2779.47,2674.36,2471.93,2457.53,2229.61,0,2887.34,3252.38,15035.1,2883.63,2581.54,2759.37,2435.54,2511.82,900.825,9109.13
2174.42,1047.46,1029.18,949.666,2083.1,1814,3049.65,2684.03,8299.81,8566.03,8683.33,19104.7,20750.8,21995.1,22893,961.54,956.278,1005.15,957.732,1009.04,2887.34,0,1942.24,14566,973.744,1002.5,881.724,872.415,709.485,2338.14,8504.11
2865.71,2950.9,2930.01,2855.5,3095.78,2863.3,3501.5,2915.08,6426.59,6692.44,6809.53,17213.5,18860.9,20106.4,21008.8,2824.11,2788.34,2754.41,2701.99,2622.73,3252.38,1942.24,0,12732.4,2854.71,2790.19,2735.8,2578.86,2432.01,3212.51,6843.45
14931.7,15462.6,15439,15403.7,15421,15279.3,15287.9,14784.7,7255.74,7020.5,6920.47,5499.45,6855.38,7957.94,8679.76,15393.5,15370.1,15347,15302.4,15227.7,15035.1,14566,12732.4,0,15403.2,15364.2,15301.7,15160.7,15012.2,15395.5,6489.89
2062.4,204.6,200.024,108.208,1829.4,1626.75,2981.81,2817.17,9250.41,9515.63,9632.55,20015.5,21656,22896.4,23785.1,107.898,212.231,413.953,431.263,663.382,2883.63,973.744,2854.71,15403.2,0,304.039,149.255,478.174,506.424,2107.58,9234.39
1767.49,505.618,501.896,402.931,1526.82,1324.21,2678.63,2525.05,9211.34,9477.29,9594.42,19973.5,21613.8,22854.1,23743.1,203.416,107.564,119.67,153.271,376.388,2581.54,1002.5,2790.19,15364.2,304.039,0,209.306,235.818,360.118,1804.65,9199.75
1942.41,343.923,334.547,225.078,1723.65,1511.07,2864.71,2683.57,9142.04,9407.57,9524.6,19908.6,21549.3,22790,23679.4,91.8096,121.709,305.473,309.705,534.869,2759.37,881.724,2735.8,15301.7,149.255,209.306,0,336.329,359.625,2001.15,9141.1
1622.84,677.853,668.129,560.722,1429.82,1205.2,2550.73,2356.69,9004.1,9270.14,9387.28,19763.5,21403.9,22644.3,23533.9,385.917,293.857,186.593,147.709,239.428,2435.54,872.415,2578.86,15160.7,478.174,235.818,336.329,0,177.89,1702.15,9009.75
1697.56,684.499,669.872,566.33,1549.18,1312.8,2641.44,2410.11,8854.14,9119.85,9236.89,19613.7,21254.3,22494.8,23384.5,438.179,375.751,346.999,304.875,379.169,2511.82,709.485,2432.01,15012.2,506.424,360.118,359.625,177.89,0,1814.98,8866.51
533.064,2303.86,2301.87,2206.42,299.942,549.586,933.481,1092.2,9345.81,9610.11,9725.95,19971.8,21603,22837.3,23722.9,2006.18,1904.43,1703.11,1701.72,1494.2,900.825,2338.14,3212.51,15395.5,2107.58,1804.65,2001.15,1702.15,1814.98,0,9322.52
8818.15,9287.07,9263.1,9242.66,9339.76,9205.58,9370.92,8916.26,4508.73,4523.63,4539.07,11721.5,13229.2,14389.9,15155.8,9230.96,9211.71,9194.5,9156.46,9096.72,9109.13,8504.11,6843.45,6489.89,9234.39,9199.75,9141.1,9009.75,8866.51,9322.52,0
