0,533.1,450.37,566.406,688.657,608.141,206.063,422.236,461.24,471.025,995.432,315.945,823.607,562.26,176.516,465.924,
533.1,0,359.662,805.186,907.514,795.492,490.353,716.661,598.082,616.166,1170.02,414.547,1006.39,944.46,528.759,649.598,
450.37,359.662,0,909.238,1058.95,961.504,297.044,815.055,725.113,777.632,1359.28,510.876,1185.01,998.758,454.155,798.383,
566.406,805.186,909.238,0,517.425,352.88,687.812,293.508,217.49,244.461,597.981,650.419,549.211,420.048,498.628,242.398,
688.657,907.514,1058.95,517.425,0,187.918,882.819,311.663,587.431,415.204,377.455,582,157.48,304.711,755.207,369.256,
608.141,795.492,961.504,352.88,187.918,0,783.889,203.084,410.3,240.202,399.476,530.898,242.786,317.648,636.36,199.251,
206.063,490.353,297.044,687.812,882.819,783.889,0,604.19,546.328,607.535,1173.33,440.147,1011.08,757.508,192.276,617.028,
422.236,716.661,815.055,293.508,311.663,203.084,604.19,0,324.852,198.399,573.852,429.509,419.178,244.072,454.349,147.397,
461.24,598.082,725.113,217.49,587.431,410.3,546.328,324.852,0,181.86,735.17,522.925,645.02,536.804,372.245,220.429,
471.025,616.166,777.632,244.461,415.204,240.202,607.535,198.399,181.86,0,601.36,445.563,479.852,429.303,449.521,54.626,
995.432,1170.02,1359.28,597.981,377.455,399.476,1173.33,573.852,735.17,601.36,0,919.572,228.508,537.852,1012.4,571.537,
315.945,414.547,510.876,650.419,582,530.898,440.147,429.509,522.925,445.563,919.572,0,716.829,606.337,432.145,442.784,
823.607,1006.39,1185.01,549.211,157.48,242.786,1011.08,419.178,645.02,479.852,228.508,716.829,0,403.308,869.911,441.459,
562.26,944.46,998.758,420.048,304.711,317.648,757.508,244.072,536.804,429.303,537.852,606.337,403.308,0,616.949,376.086,
176.516,528.759,454.155,498.628,755.207,636.36,192.276,454.349,372.245,449.521,1012.4,432.145,869.911,616.949,0,458.961,
465.924,649.598,798.383,242.398,369.256,199.251,617.028,147.397,220.429,54.626,571.537,442.784,441.459,376.086,458.961,0,
